;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
59;Model 1;Method 1;144;0.95;semester2_delta;-0.25;-0.253;-0.249;-0.012;0.053
60;Model 1;Method 1;144;0.95;alpha;0.95;0.952;0.961;-0.002;0.001
61;Model 1;Method 1;168;0.35;(Intercept)_nu;2.1;2.149;2.147;-0.023;0.01
62;Model 1;Method 1;168;0.35;sent_nu;0.1;0.107;0.106;-0.07;0.006
63;Model 1;Method 1;168;0.35;cost_nu;-0.1;-0.108;-0.108;-0.08;0.006
64;Model 1;Method 1;168;0.35;(Intercept)_delta;-0.5;-1.178;-1.171;-1.356;0.628
65;Model 1;Method 1;168;0.35;semester2_delta;-0.25;-0.217;-0.218;0.132;0.098
66;Model 1;Method 1;168;0.35;alpha;0.35;0.454;0.448;-0.297;0.013
67;Model 1;Method 1;168;0.5;(Intercept)_nu;2.1;2.133;2.132;-0.016;0.01
68;Model 1;Method 1;168;0.5;sent_nu;0.1;0.104;0.104;-0.04;0.01
69;Model 1;Method 1;168;0.5;cost_nu;-0.1;-0.099;-0.1;0.01;0.01
70;Model 1;Method 1;168;0.5;(Intercept)_delta;-0.5;-0.733;-0.721;-0.466;0.164
71;Model 1;Method 1;168;0.5;semester2_delta;-0.25;-0.204;-0.2;0.184;0.086
72;Model 1;Method 1;168;0.5;alpha;0.5;0.548;0.547;-0.096;0.005
73;Model 1;Method 1;168;0.65;(Intercept)_nu;2.1;2.12;2.122;-0.01;0.009
74;Model 1;Method 1;168;0.65;sent_nu;0.1;0.099;0.1;0.01;0.012
75;Model 1;Method 1;168;0.65;cost_nu;-0.1;-0.098;-0.102;0.02;0.012
76;Model 1;Method 1;168;0.65;(Intercept)_delta;-0.5;-0.556;-0.549;-0.112;0.057
77;Model 1;Method 1;168;0.65;semester2_delta;-0.25;-0.237;-0.241;0.052;0.068
78;Model 1;Method 1;168;0.65;alpha;0.65;0.667;0.666;-0.026;0.003
79;Model 1;Method 1;168;0.8;(Intercept)_nu;2.1;2.116;2.114;-0.008;0.009
80;Model 1;Method 1;168;0.8;sent_nu;0.1;0.099;0.101;0.01;0.014
81;Model 1;Method 1;168;0.8;cost_nu;-0.1;-0.102;-0.104;-0.02;0.012
82;Model 1;Method 1;168;0.8;(Intercept)_delta;-0.5;-0.528;-0.521;-0.056;0.036
83;Model 1;Method 1;168;0.8;semester2_delta;-0.25;-0.255;-0.253;-0.02;0.051
84;Model 1;Method 1;168;0.8;alpha;0.8;0.808;0.807;-0.01;0.002
85;Model 1;Method 1;168;0.95;(Intercept)_nu;2.1;2.125;2.124;-0.012;0.01
86;Model 1;Method 1;168;0.95;sent_nu;0.1;0.104;0.102;-0.04;0.013
87;Model 1;Method 1;168;0.95;cost_nu;-0.1;-0.101;-0.105;-0.01;0.008
88;Model 1;Method 1;168;0.95;(Intercept)_delta;-0.5;-0.537;-0.53;-0.074;0.028
89;Model 1;Method 1;168;0.95;semester2_delta;-0.25;-0.246;-0.247;0.016;0.045
90;Model 1;Method 1;168;0.95;alpha;0.95;0.952;0.959;-0.002;0.001
91;Model 1;Method 2;84;0.35;(Intercept)_nu;2.1;1.172;1.156;0.442;0.901
92;Model 1;Method 2;84;0.35;sent_nu;0.1;0.116;0.119;-0.16;0.037
93;Model 1;Method 2;84;0.35;cost_nu;-0.1;-0.1;-0.094;0;0.031
94;Model 1;Method 2;84;0.35;(Intercept)_delta;-0.5;-0.603;-0.571;-0.206;0.179
95;Model 1;Method 2;84;0.35;semester2_delta;-0.25;-0.095;-0.088;0.62;0.203
96;Model 1;Method 2;84;0.35;alpha;0.35;0.487;0.478;-0.391;0.023
97;Model 1;Method 2;84;0.5;(Intercept)_nu;2.1;1.326;1.323;0.369;0.646
98;Model 1;Method 2;84;0.5;sent_nu;0.1;0.091;0.091;0.09;0.048
99;Model 1;Method 2;84;0.5;cost_nu;-0.1;-0.095;-0.092;0.05;0.042
100;Model 1;Method 2;84;0.5;(Intercept)_delta;-0.5;-0.357;-0.302;0.286;0.109
101;Model 1;Method 2;84;0.5;semester2_delta;-0.25;-0.141;-0.137;0.436;0.151
102;Model 1;Method 2;84;0.5;alpha;0.5;0.564;0.56;-0.128;0.009
103;Model 1;Method 2;84;0.65;(Intercept)_nu;2.1;1.576;1.584;0.25;0.316
104;Model 1;Method 2;84;0.65;sent_nu;0.1;0.093;0.094;0.07;0.049
105;Model 1;Method 2;84;0.65;cost_nu;-0.1;-0.096;-0.096;0.04;0.038
106;Model 1;Method 2;84;0.65;(Intercept)_delta;-0.5;-0.348;-0.324;0.304;0.06
107;Model 1;Method 2;84;0.65;semester2_delta;-0.25;-0.195;-0.189;0.22;0.122
108;Model 1;Method 2;84;0.65;alpha;0.65;0.676;0.674;-0.04;0.006
109;Model 1;Method 2;84;0.8;(Intercept)_nu;2.1;1.846;1.851;0.121;0.091
110;Model 1;Method 2;84;0.8;sent_nu;0.1;0.091;0.096;0.09;0.037
111;Model 1;Method 2;84;0.8;cost_nu;-0.1;-0.098;-0.093;0.02;0.028
112;Model 1;Method 2;84;0.8;(Intercept)_delta;-0.5;-0.505;-0.499;-0.01;0.041
113;Model 1;Method 2;84;0.8;semester2_delta;-0.25;-0.226;-0.232;0.096;0.099
114;Model 1;Method 2;84;0.8;alpha;0.8;0.82;0.82;-0.025;0.006
115;Model 1;Method 2;84;0.95;(Intercept)_nu;2.1;2.077;2.078;0.011;0.017
116;Model 1;Method 2;84;0.95;sent_nu;0.1;0.1;0.101;0;0.028
117;Model 1;Method 2;84;0.95;cost_nu;-0.1;-0.097;-0.097;0.03;0.017
118;Model 1;Method 2;84;0.95;(Intercept)_delta;-0.5;-0.57;-0.565;-0.14;0.054
119;Model 1;Method 2;84;0.95;semester2_delta;-0.25;-0.259;-0.257;-0.036;0.092
120;Model 1;Method 2;84;0.95;alpha;0.95;0.953;0.972;-0.003;0.002
121;Model 1;Method 2;144;0.35;(Intercept)_nu;2.1;0.489;0.537;0.767;2.873
122;Model 1;Method 2;144;0.35;sent_nu;0.1;0.028;0.03;0.72;0.103
