;V8;V2;V6;V7;V3;Par_real;Mean;Median;RB;MSE
45;Model 1;0.5;Method 1;216;cost_a;-0.1;-0.100390185676393;-0.101;-0.00390185676392568;1.52244862061926e-07
46;Model 1;0.5;Method 1;216;(Intercept)_delta;-3.5;-3.61028302387268;-3.5699;-0.031509435392194;0.0121623453545019
47;Model 1;0.5;Method 1;216;semester2_delta;-0.25;-0.266736870026525;-0.2508;-0.0669474801061007;0.000280122818284797
48;Model 1;0.5;Method 1;216;alpha;0.5;0.51371317418214;0.5113;-0.0274263483642794;0.000188051146149702
49;Model 1;0.5;Method 2;84;(Intercept)_a;2.5;1.83784436363636;1.84;0.264862254545455;0.438450086768132
50;Model 1;0.5;Method 2;84;sent_a;0.1;0.0908576363636364;0.0882;0.0914236363636364;8.35828128595042e-05
51;Model 1;0.5;Method 2;84;cost_a;-0.1;-0.101482181818182;-0.09935;-0.0148218181818181;2.19686294214875e-06
52;Model 1;0.5;Method 2;84;(Intercept)_delta;-3.5;-2.32034427272727;-2.2495;0.337044493506494;1.39158763488735
53;Model 1;0.5;Method 2;84;semester2_delta;-0.25;-0.165412909090909;-0.15105;0.338348363636364;0.00715497594846281
54;Model 1;0.5;Method 2;84;alpha;0.5;0.538578181818182;0.5351;-0.0771563636363637;0.0014882761123967
55;Model 1;0.5;Method 2;144;(Intercept)_a;2.5;1.48438703517588;1.4819;0.406245185929648;1.03146969431884
56;Model 1;0.5;Method 2;144;sent_a;0.1;0.0776619095477387;0.079;0.223380904522613;0.000498990285053408
57;Model 1;0.5;Method 2;144;cost_a;-0.1;-0.0873923618090452;-0.0894;0.126076381909548;0.000158952540754022
58;Model 1;0.5;Method 2;144;(Intercept)_delta;-3.5;-3.58680804020101;-3.6792;-0.0248022972002872;0.00753563584353933
59;Model 1;0.5;Method 2;144;semester2_delta;-0.25;-0.929871457286432;-0.2116;-2.71948582914573;0.462225198432777
60;Model 1;0.5;Method 2;144;alpha;0.5;0.522923015075377;0.5173;-0.0458460301507537;0.000525464620145955
61;Model 1;0.65;Method 1;84;(Intercept)_a;2.5;2.51642079207921;2.5127;-0.00656831683168324;0.000269642412508584
62;Model 1;0.65;Method 1;84;sent_a;0.1;0.103434158415842;0.1055;-0.0343415841584158;1.17934440250955e-05
63;Model 1;0.65;Method 1;84;cost_a;-0.1;-0.107439603960396;-0.10505;-0.0743960396039603;5.53477070875403e-05
64;Model 1;0.65;Method 1;84;(Intercept)_delta;-3.5;-3.65757633663366;-3.5916;-0.045021810466761;0.0248303018668856
65;Model 1;0.65;Method 1;84;semester2_delta;-0.25;-0.915617623762376;-0.2466;-2.6624704950495;0.443046821063072
66;Model 1;0.65;Method 1;84;alpha;0.65;0.671802079207921;0.66955;-0.0335416603198781;0.000475330657788451
67;Model 1;0.65;Method 1;144;(Intercept)_a;2.5;2.51348100558659;2.5141;-0.00539240223463686;0.000181737511625729
68;Model 1;0.65;Method 1;144;sent_a;0.1;0.0971583240223464;0.0978;0.0284167597765364;8.07512236197377e-06
69;Model 1;0.65;Method 1;144;cost_a;-0.1;-0.0992682681564246;-0.0979;0.00731731843575431;5.35431490902299e-07
70;Model 1;0.65;Method 1;144;(Intercept)_delta;-3.5;-3.6404251396648;-3.622;-0.0401214684756585;0.0197192198498799
71;Model 1;0.65;Method 1;144;semester2_delta;-0.25;-0.286154413407821;-0.2647;-0.144617653631285;0.00130714160886364
72;Model 1;0.65;Method 1;144;alpha;0.65;0.654463240223464;0.6582;-0.00686652342071334;1.9920513292344e-05
73;Model 1;0.65;Method 1;216;(Intercept)_a;2.5;2.51681859723698;2.515;-0.00672743889479275;0.000282865213019814
74;Model 1;0.65;Method 1;216;sent_a;0.1;0.0977970244420829;0.0991;0.0220297555791711;4.85310130878021e-06
75;Model 1;0.65;Method 1;216;cost_a;-0.1;-0.101449202975558;-0.102;-0.0144920297555791;2.1001892643659e-06
76;Model 1;0.65;Method 1;216;(Intercept)_delta;-3.5;-3.60953411264612;-3.58;-0.0312954607560347;0.0119977218331732
77;Model 1;0.65;Method 1;216;semester2_delta;-0.25;-0.270212964930925;-0.2702;-0.0808518597236982;0.000408563951298786
78;Model 1;0.65;Method 1;216;alpha;0.65;0.6549;0.6571;-0.00753846153846156;2.40100000000002e-05
79;Model 1;0.65;Method 2;84;(Intercept)_a;2.5;2.08379683168317;2.0854;0.166481267326733;0.173225077316969
80;Model 1;0.65;Method 2;84;sent_a;0.1;0.100292475247525;0.09865;-0.00292475247524751;8.55417704146644e-08
81;Model 1;0.65;Method 2;84;cost_a;-0.1;-0.104291683168317;-0.1064;-0.0429168316831682;1.84185444172139e-05
82;Model 1;0.65;Method 2;84;(Intercept)_delta;-3.5;-2.60714138613861;-2.5718;0.255102461103253;0.797196504346476
83;Model 1;0.65;Method 2;84;semester2_delta;-0.25;-0.192333366336634;-0.17345;0.230666534653465;0.00332544063806489
84;Model 1;0.65;Method 2;84;alpha;0.65;0.671785643564356;0.6699;-0.0335163747143945;0.000474614265513184
85;Model 1;0.65;Method 2;144;(Intercept)_a;2.5;2.02510727883539;2.0614;0.189957088465845;0.225523096615131
86;Model 1;0.65;Method 2;144;sent_a;0.1;0.0856575587905935;0.0825;0.143424412094065;0.000205705619845282
87;Model 1;0.65;Method 2;144;cost_a;-0.1;-0.0968004479283315;-0.0974;0.0319955207166854;1.02371334593184e-05
88;Model 1;0.65;Method 2;144;(Intercept)_delta;-3.5;-2.77453818589026;-2.5953;0.207274804031355;0.526294843731398
89;Model 1;0.65;Method 2;144;semester2_delta;-0.25;-0.224793729003359;-0.2145;0.100825083986562;0.000635356097556083
90;Model 1;0.65;Method 2;144;alpha;0.65;0.654816573348264;0.6583;-0.00741011284348345;2.31993788192094e-05
91;Model 1;0.8;Method 1;84;(Intercept)_a;2.5;2.54280892018779;2.5432;-0.0171235680751174;0.00183260364764487
92;Model 1;0.8;Method 1;84;sent_a;0.1;0.103542629107981;0.1062;-0.0354262910798121;1.25502209967158e-05
93;Model 1;0.8;Method 1;84;cost_a;-0.1;-0.101828544600939;-0.1006;-0.0182854460093897;3.34357535762304e-06
94;Model 1;0.8;Method 1;84;(Intercept)_delta;-3.5;-3.69185680751174;-3.6691;-0.0548162307176392;0.0368090345885957
95;Model 1;0.8;Method 1;84;semester2_delta;-0.25;-0.270915117370892;-0.2653;-0.0836604694835681;0.000437442134638189
96;Model 1;0.8;Method 1;84;alpha;0.8;0.81419455399061;0.8164;-0.0177431924882629;0.000201485362992351
97;Model 1;0.8;Method 1;144;(Intercept)_a;2.5;2.53011259640103;2.5305;-0.0120450385604114;0.000906768462011233
98;Model 1;0.8;Method 1;144;sent_a;0.1;0.0955077120822622;0.0949;0.044922879177378;2.0180650735853e-05
99;Model 1;0.8;Method 1;144;cost_a;-0.1;-0.0991887746358183;-0.0998;0.0081122536418167;6.58086591491683e-07
100;Model 1;0.8;Method 1;144;(Intercept)_delta;-3.5;-3.61325946872322;-3.5942;-0.0323598482066348;0.0128277072554665
101;Model 1;0.8;Method 1;144;semester2_delta;-0.25;-0.275690831191088;-0.2672;-0.102763324764353;0.000660018807288995
102;Model 1;0.8;Method 1;144;alpha;0.8;0.810253470437018;0.8095;-0.0128168380462725;0.000105133656002801
103;Model 1;0.8;Method 1;216;(Intercept)_a;2.5;2.52861905172414;2.5293;-0.0114476206896551;0.000819050121588875
104;Model 1;0.8;Method 1;216;sent_a;0.1;0.0979884482758621;0.09865;0.0201155172413793;4.04634033888228e-06
105;Model 1;0.8;Method 1;216;cost_a;-0.1;-0.0980072413793103;-0.09785;0.0199275862068966;3.97108692033297e-06
106;Model 1;0.8;Method 1;216;(Intercept)_delta;-3.5;-3.60538939655172;-3.58265;-0.0301112561576355;0.0111069249055366
107;Model 1;0.8;Method 1;216;semester2_delta;-0.25;-0.259387931034483;-0.2673;-0.0375517241379311;8.81332491082047e-05
108;Model 1;0.8;Method 1;216;alpha;0.8;0.804304137931035;0.80515;-0.00538017241379307;1.85256033293696e-05
109;Model 1;0.8;Method 2;84;(Intercept)_a;2.5;2.31737588785047;2.32445;0.0730496448598132;0.0333515663384052
110;Model 1;0.8;Method 2;84;sent_a;0.1;0.099641214953271;0.10025;0.00358785046728982;1.28726709756318e-07
111;Model 1;0.8;Method 2;84;cost_a;-0.1;-0.100831962616822;-0.10025;-0.00831962616822418;6.92161795790006e-07
112;Model 1;0.8;Method 2;84;(Intercept)_delta;-3.5;-3.07535682242991;-3.0638;0.121326622162884;0.180321828256826
113;Model 1;0.8;Method 2;84;semester2_delta;-0.25;-0.23711261682243;-0.23835;0.0515495327102804;0.000166084645165517
114;Model 1;0.8;Method 2;84;alpha;0.8;0.814292990654206;0.8164;-0.0178662383177569;0.000204289581841207
115;Model 1;0.8;Method 2;144;(Intercept)_a;2.5;2.29015042735043;2.28935;0.0839398290598291;0.0440368431412083
116;Model 1;0.8;Method 2;144;sent_a;0.1;0.092197264957265;0.0906;0.0780273504273504;6.08826741471254e-05
117;Model 1;0.8;Method 2;144;cost_a;-0.1;-0.0979097435897436;-0.09715;0.0209025641025641;4.36917186061802e-06
118;Model 1;0.8;Method 2;144;(Intercept)_delta;-3.5;-2.96141205128205;-2.95005;0.153882271062271;0.290076978504208
119;Model 1;0.8;Method 2;144;semester2_delta;-0.25;-0.232029487179487;-0.22985;0.0718820512820513;0.000322939331032216
120;Model 1;0.8;Method 2;144;alpha;0.8;0.810299829059829;0.80975;-0.0128747863247863;0.000106086478661699
121;Model 1;0.95;Method 1;84;(Intercept)_a;2.5;2.57092789518174;2.5662;-0.0283711580726965;0.00503076631491209
122;Model 1;0.95;Method 1;84;sent_a;0.1;0.0941503803888419;0.0932;0.0584961961115808;3.42180495952452e-05
123;Model 1;0.95;Method 1;84;cost_a;-0.1;-0.0979829247675402;-0.0982;0.0201707523245985;4.06859249340296e-06
124;Model 1;0.95;Method 1;84;(Intercept)_delta;-3.5;-3.76666060862215;-3.7257;-0.0761887453206135;0.071107880190734
125;Model 1;0.95;Method 1;84;semester2_delta;-0.25;-0.300515384615385;-0.287;-0.202061538461539;0.00255180408284024
126;Model 1;0.95;Method 1;84;alpha;0.95;0.943104057480981;0.9611;0.00725888686212565;4.75540232256192e-05
127;Model 1;0.95;Method 1;144;(Intercept)_a;2.5;2.56028355592654;2.5594;-0.0241134223706178;0.00363410711514881
128;Model 1;0.95;Method 1;144;sent_a;0.1;0.100904006677796;0.10135;-0.00904006677796318;8.17228073500336e-07
129;Model 1;0.95;Method 1;144;cost_a;-0.1;-0.0998838063439065;-0.0973;0.001161936560935;1.35009657163744e-08
130;Model 1;0.95;Method 1;144;(Intercept)_delta;-3.5;-3.72678030050083;-3.69995;-0.064794371571667;0.0514293046952489
131;Model 1;0.95;Method 1;144;semester2_delta;-0.25;-0.267282053422371;-0.27685;-0.0691282136894824;0.000298669370493671
132;Model 1;0.95;Method 1;144;alpha;0.95;0.941385976627713;0.9475;0.00906739302346012;7.42013986583087e-05
133;Model 1;0.95;Method 1;216;(Intercept)_a;2.5;2.5529754180602;2.5526;-0.0211901672240803;0.00280639491865304
134;Model 1;0.95;Method 1;216;sent_a;0.1;0.0991583612040134;0.0983;0.00841638795986629;7.08355862909823e-07
135;Model 1;0.95;Method 1;216;cost_a;-0.1;-0.0996732441471572;-0.10025;0.00326755852842808;1.06769387367031e-07
136;Model 1;0.95;Method 1;216;(Intercept)_delta;-3.5;-3.69409038461538;-3.68845;-0.0554543956043956;0.0376710774001479
137;Model 1;0.95;Method 1;216;semester2_delta;-0.25;-0.266757357859532;-0.27095;-0.067029431438127;0.000280809042432411
138;Model 1;0.95;Method 1;216;alpha;0.95;0.942420986622074;0.94625;0.00797790881886982;5.74414437827862e-05
139;Model 1;0.95;Method 2;84;(Intercept)_a;2.5;2.48528666666667;2.4815;0.00588533333333334;0.000216482177777778
140;Model 1;0.95;Method 2;84;sent_a;0.1;0.0953460759493671;0.0964;0.0465392405063292;2.16590090690595e-05
141;Model 1;0.95;Method 2;84;cost_a;-0.1;-0.0982729113924051;-0.0982;0.0172708860759495;2.98283505848426e-06
142;Model 1;0.95;Method 2;84;(Intercept)_delta;-3.5;-3.53101578059072;-3.4956;-0.00886165159734783;0.000961978645651523
143;Model 1;0.95;Method 2;84;semester2_delta;-0.25;-0.273536540084388;-0.2604;-0.0941461603375526;0.00055396871914401
144;Model 1;0.95;Method 2;84;alpha;0.95;0.94314194092827;0.9611;0.00721900954918934;4.70329742313364e-05
145;Model 1;0.95;Method 2;144;(Intercept)_a;2.5;2.4671815;2.4657;0.0131273999999999;0.00107705394224999
146;Model 1;0.95;Method 2;144;sent_a;0.1;0.102237083333333;0.10255;-0.0223708333333333;5.00454184027778e-06
147;Model 1;0.95;Method 2;144;cost_a;-0.1;-0.100063583333333;-0.09885;-0.000635833333333252;4.04284027777675e-09
148;Model 1;0.95;Method 2;144;(Intercept)_delta;-3.5;-3.47009625;-3.45285;0.00854392857142854;0.000894234264062494
149;Model 1;0.95;Method 2;144;semester2_delta;-0.25;-0.241238833333333;-0.23985;0.0350446666666666;7.67580413611109e-05
150;Model 1;0.95;Method 2;144;alpha;0.95;0.941406416666667;0.9475;0.00904587719298239;7.38496745069433e-05
